Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,176,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Files_7954"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,175,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Files_7954
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,166,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""EFS"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,165,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap EFS
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,156,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""document_16xLG"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,155,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap document_16xLG
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,146,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Console"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,145,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Console
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,136,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Collection_16xLG"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,135,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Collection_16xLG
